FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh
17069,3649,75.35,6.85,20.549999999999997,47.949999999999996,41.78,0.0,0.0,0.0,0.0
48151,3672,161.81,14.71,44.13,102.97,99.82,0.0,0.0,0.0,0.0
30097,3678,45.59,46.24,12.24,28.560000000000002,2.8,0.0,0.0,0.0,0.0
51720,3687,40.589999999999996,8.9,11.07,25.83,30.46,0.0,0.0,0.0,0.0
13101,3697,0.0,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0
19003,3704,65.89,21.630000000000003,17.91,41.79,0.0,0.0,0.0,0.0,0.0
38019,3704,462.11,99.03,126.03,298.12,4.5600000000000005,0.0,0.0,0.0,0.0
46085,3718,918.06,274.76,250.38,584.22,4.569999999999999,0.0,0.0,0.0,0.0
29103,3744,132.05,10.28,30.839999999999996,71.96,39.150000000000006,0.0,0.0,0.0,0.0
40045,3749,67.81,6.0,18.0,45.730000000000004,64.03,0.0,0.0,0.0,0.0
17151,3763,0.0,0.0,0.0,0.0,23.53,0.0,0.0,0.0,0.0
27077,3763,73.99000000000001,98.39,19.29,47.14,6.449999999999999,0.0,0.0,0.0,0.0
20081,3780,186.23,16.93,50.79,120.35999999999999,37.66,0.0,0.0,0.0,0.0
28125,3800,10.08,23.9,2.37,11.32,45.13,0.0,0.0,0.0,0.0
46025,3837,81.95,61.46000000000001,22.35,68.68,5.79,0.0,0.0,0.0,0.0
38081,3862,166.1,120.12,45.3,105.69999999999999,0.0,0.0,0.0,0.0,0.0
31029,3893,180.69,16.41,49.230000000000004,118.98,14.139999999999999,0.0,0.0,0.0,0.0
38085,3898,189.64,158.75,51.72,120.67999999999999,5.12,0.0,0.0,0.0,0.0
46031,3902,281.05,133.75,76.65,178.85000000000002,3.54,0.0,0.0,0.0,0.0
27125,3935,462.66,96.79000000000002,126.18,294.42,0.0,0.0,0.0,0.0,0.0
53013,3952,77.74,16.99,20.580000000000002,48.02,7.170000000000001,0.0,0.0,0.0,0.0
48319,3953,192.28,40.24,52.44,142.6,20.78,0.0,0.0,0.0,0.0
38103,3982,277.15000000000003,87.86999999999999,73.53,174.08,33.529999999999994,0.0,0.0,0.0,0.0
20093,3983,181.34,23.920000000000005,48.36,116.61,30.86,0.0,0.0,0.0,0.0
46045,3986,261.59,57.08,70.98,177.64000000000001,0.0,0.0,0.0,0.0,0.0
38069,3990,338.33,94.33000000000001,91.89,214.41,3.3899999999999997,0.0,0.0,0.0,0.0
46053,3994,419.51,56.470000000000006,114.03,266.07,5.300000000000001,0.0,0.0,0.0,0.0
29197,4032,10.2,3.28,0.0,2.33,38.44,0.0,0.0,0.0,0.0
21189,4051,9.790000000000001,0.89,2.67,12.399999999999999,19.25,0.0,0.0,0.0,0.0
20119,4055,209.94,20.299999999999997,55.050000000000004,150.64000000000001,24.939999999999998,0.0,0.0,0.0,0.0
31175,4059,325.49,35.01,88.77,207.13,9.700000000000001,0.0,0.0,0.0,0.0
20185,4072,36.08,3.07,9.209999999999999,23.949999999999996,30.97,0.0,0.0,0.0,0.0
35059,4079,529.71,47.98,143.94,338.79999999999995,21.91,0.0,0.0,0.0,0.0
38045,4093,198.48000000000002,64.35,53.730000000000004,130.62,13.71,0.0,0.0,0.0,0.0
31129,4095,184.58,36.800000000000004,50.34,122.59,11.59,0.0,0.0,0.0,0.0
38025,4095,443.52,98.91999999999999,120.96000000000001,287.86,1.83,0.0,0.0,0.0,0.0
32029,4104,349.46999999999997,33.33,95.31,222.39,0.27,0.0,0.0,0.0,0.0
22107,4147,21.23,7.52,5.79,13.51,34.0,0.0,0.0,0.0,0.0
40053,4169,97.13,8.83,26.490000000000002,61.81,76.09,0.0,0.0,0.0,0.0
35023,4178,225.61,20.51,61.53,145.48000000000002,8.74,0.0,0.0,0.0,0.0
35033,4189,838.2,76.2,228.60000000000002,533.4000000000001,37.849999999999994,0.0,0.0,0.0,0.0
27069,4207,71.69,118.23,19.259999999999998,50.17,5.07,0.0,0.0,0.0,0.0
51017,4209,22.060000000000002,26.009999999999998,4.71,14.55,8.379999999999999,0.0,0.0,0.0,0.0
30071,4217,79.31,39.699999999999996,21.63,56.510000000000005,10.31,0.0,0.0,0.0,0.0
29087,4223,16.94,1.54,4.62,12.91,38.8,0.0,0.0,0.0,0.0
20007,4228,271.78000000000003,27.580000000000005,73.80000000000001,182.37,22.88,0.0,0.0,0.0,0.0
55078,4255,242.21999999999997,22.02,66.06,154.14,7.050000000000001,0.0,0.0,0.0,0.0
16037,4275,91.29,8.4,23.73,72.45,6.010000000000001,0.0,0.0,0.0,0.0
48267,4286,109.11999999999999,27.72,29.339999999999996,73.72999999999999,42.0,0.0,0.0,0.0,0.0
46039,4295,137.82999999999998,87.56,37.589999999999996,98.41999999999999,0.0,0.0,0.0,0.0,0.0
46091,4306,173.69,67.22999999999999,47.37,120.26,0.0,0.0,0.0,0.0,0.0
16003,4379,153.33,13.63,40.89,101.35000000000001,12.27,0.0,0.0,0.0,0.0
53069,4422,46.32,16.62,12.36,40.83,2.0999999999999996,0.0,0.0,0.0,0.0
17013,4437,215.70999999999998,22.049999999999997,58.83,137.26999999999998,28.770000000000003,0.0,0.0,0.0,0.0
35019,4452,574.15,52.02,156.06,364.14,13.960000000000003,0.0,0.0,0.0,0.0
48333,4456,111.1,14.18,30.299999999999997,75.19,116.91,0.0,0.0,0.0,0.0
40043,4484,88.11,8.01,24.03,60.75,99.84,0.0,0.0,0.0,0.0
32017,4499,68.75,11.45,18.75,45.75,4.8,0.0,0.0,0.0,0.0
