FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,total_adh
40053,4169,8.83,0.0,0.0,0.0,53.49,0.0,0.0,0.0,0.0,62.32
35023,4178,20.51,0.0,0.0,1.91,7.16,0.0,0.0,0.0,0.0,29.580000000000002
35033,4189,76.2,1.03,0.0,0.0,7.69,0.0,0.0,0.0,0.0,84.92
27069,4207,7.49,58.81,0.0,5.23,1.69,0.0,0.0,0.0,0.0,73.22
51017,4209,5.84,4.23,0.0,3.56,8.379999999999999,0.0,0.0,0.0,0.0,22.009999999999998
30071,4217,7.21,17.119999999999997,0.0,6.04,4.23,0.0,0.0,0.0,0.0,34.599999999999994
29087,4223,1.54,1.18,0.0,2.13,32.989999999999995,0.0,0.0,0.0,0.0,37.839999999999996
20007,4228,25.78,1.8199999999999998,0.0,10.17,12.98,0.0,0.0,0.0,0.0,50.75
55078,4255,22.02,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,24.37
16037,4275,12.19,0.49,0.0,17.08,2.27,0.0,0.0,0.0,0.0,32.03
